trackid,track_name,track_artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2eYY43d0V17SxOX0g7sBAD,Stuck in the Mud (feat. SZA),['Isaiah Rashad'],0.568,0.714,-8.228,0.368,0.099,0.00522,0.116,0.508,150.024
7uTqmYA0sSjmDVpQNGDz7j,Lots of Nothing (feat. BENEE),['Spacey Jane'],0.551,0.865,-4.616,0.0406,0.000668,0,0.108,0.702,140.036
5ti3pAj9M9HlnXrjUiO232,Nothing Left To Give,['BAILEN'],0.756,0.59,-7.922,0.0353,0.221,4.75e-05,0.122,0.24,122.043
3rgnM3MBkpsuVeSwmtXYia,I Need That,['Peach Tree Rascals'],0.706,0.751,-5.801,0.0829,0.114,0,0.0833,0.788,172.027
1CViPSuBCYHDbqjaJU1Ot0,The Miller Family Reunion,['Mac Miller'],0.73,0.655,-5.742,0.24,0.0596,0,0.242,0.43,95.688
2bUyKAHjQ58o6gQNh5uyf1,Evergreen,['Mt. Joy'],0.403,0.882,-7.265,0.119,0.326,0.00101,0.298,0.503,161.09
64CqXq0In0wKZ6eHo8bEwZ,Good Morning,['Young Monks'],0.675,0.897,-5.038,0.0416,0.0231,0.0375,0.539,0.724,92.014
5rHoZOh481VFV9kJovM9RI,Fader,['The Temper Trap'],0.541,0.75,-6.799,0.0346,8.73e-05,0.615,0.129,0.164,134.972
3gmn76fCtpDazGMnN0QMHX,NIGHT DANCER,['imase'],0.924,0.563,-7.899,0.0802,0.0879,0,0.103,0.872,117.06
5yK37zazHUe3WxEvymZs20,Bad Idea (feat. Chance the Rapper),['Cordae'],0.732,0.464,-8.591,0.301,0.309,0,0.107,0.353,82.494
345sHgHwTuVFfOLl7dJHxD,Grow Up,['Mentum'],0.619,0.396,-9.081,0.0334,0.579,0,0.117,0.289,132.999
6FAsJDkg4y5JSWP9ZMKlDj,You,['Miley Cyrus'],0.625,0.568,-5.663,0.0324,0.288,0,0.674,0.348,85.545
0soD1tafoSKyz7z8c1IW5c,Forever (Rough Draft),['Jaylon Ashaun'],0.702,0.521,-7.67,0.0761,0.0587,2.45e-05,0.0912,0.49,179.993
2bdVgAQgosGUJoViVDNeOV,LIMBO,['keshi'],0.577,0.366,-11.792,0.0368,0.879,7.76e-05,0.137,0.0841,129.923
5wxYxygyHpbgv0EXZuqb9V,on the street (with J. Cole),"['j-hope', 'J. Cole']",0.681,0.821,-5.12,0.131,0.532,0.00111,0.0921,0.813,94.074
0xaFw2zDYf1rIJWl2dXiSF,Open Arms (feat. Travis Scott),['SZA'],0.665,0.59,-7.608,0.161,0.763,0.0132,0.147,0.216,77.559
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),['JID'],0.575,0.56,-7.302,0.478,0.173,0,0.257,0.471,75.956
2GAhgAjOhEmItWLfgisyOn,Low,['SZA'],0.698,0.546,-7.234,0.0559,0.425,0.00314,0.16,0.335,145.044
1d7q712nXjG98HiwHk7HFS,a p p l y i n g . p r e s s u r e,['J. Cole'],0.699,0.759,-5.302,0.311,0.0814,0,0.312,0.404,83.092
6AshXllQhobwSXsdpgp41w,Johnny P's Caddy,"['Benny The Butcher', 'J. Cole']",0.535,0.819,-6.792,0.455,0.584,0,0.16,0.581,150.451
0vbmYCIWENdYyJ36Q4CdSz,90 Proof (with J. Cole),"['Smino', 'J. Cole']",0.773,0.623,-6.53,0.0983,0.24,3.56e-05,0.148,0.528,147.826
2wG9CUSBZaF15R2ohLAnoe,Juice,['iyla'],0.744,0.428,-6.723,0.0943,0.532,0,0.161,0.378,116.059
4dQ4BPKoanm9j8h7SRlG61,6am,['Fitz and The Tantrums'],0.684,0.876,-4.014,0.0557,0.0459,3.33e-05,0.361,0.709,91.81
3lGPy4laQ3s4lT1pRXKmFC,Evangeline,['Stephen Sanchez'],0.469,0.568,-7.084,0.0305,0.0817,0,0.146,0.193,109.172
4eyHf2QbZZKoPWpZBYc0KX,Glossier,['Paul Russell'],0.866,0.498,-4.25,0.0461,0.0843,0,0.278,0.684,106.985
50HJ2xsReLjwmX64tqOBWl,facetime (4g LTE),"['Paul Russell', 'Kuwada']",0.824,0.553,-6.925,0.0494,0.742,5.89e-05,0.153,0.594,107.996
1dYi3AzRCFueeonBFLXbzk,Hallelujah,['Paul Russell'],0.759,0.527,-6.589,0.193,0.0496,0,0.337,0.497,159.781
1eMWdrMNzPuGOwsAeKlXBW,Rooftop,"['Tensnake', 'DRAMA']",0.777,0.694,-6.225,0.0385,0.0288,0.0703,0.0974,0.84,117.006
2CJfHjywgcczXQi6Dosw8Q,What It Is,['Amber Mark'],0.7,0.55,-5.871,0.104,0.16,0.000119,0.0644,0.854,72.997
4Rp7ckReS0joAY57yoErwh,Colour Me - Möwe Remix,['Juke Ross'],0.741,0.917,-6.323,0.05,0.151,8.08e-05,0.116,0.181,100.011
4H3HXt4sSa705RUtetLTmz,Summer Season,"['LEISURE', 'Muroki']",0.696,0.641,-6.17,0.0445,0.648,0.0012,0.255,0.422,92.003
7uGpUhy4uf2UrHH7TyhM6C,Happy Music,['Supershy'],0.777,0.737,-5.86,0.0351,0.0421,0.379,0.0265,0.891,123.993
2ksyzVfU0WJoBpu8otr4pz,METAMORPHOSIS,['INTERWORLD'],0.593,0.641,-12.727,0.0992,0.426,0.901,0.122,0.147,175.014
6rb3wFQ66EWR7DcPG0oEE1,We Caa Done (feat. Drake),"['Popcaan', 'Drake']",0.568,0.76,-6.455,0.275,0.0431,1.53e-05,0.18,0.481,100.042
384TqRlwlMfeUAODhXfF3O,Tidal Wave,['Portugal. The Man'],0.551,0.741,-4.245,0.029,0.00648,0.00603,0.0707,0.399,79.984
76viqO3tGyWHYbJgmV2gfN,Ain't Gonna Leave,['A R I Z O N A'],0.658,0.658,-4.866,0.0443,0.0628,0,0.0497,0.582,152.078
5iXWtj4lGn4P8gfabLmHLZ,Barely Alive,['ufo ufo'],0.639,0.694,-8.667,0.0421,0.0015,0.00602,0.0587,0.338,128.033
6APnYxfLzIg2cejA3v2ljy,Doing It for the Money,['Foster The People'],0.558,0.813,-4.669,0.0462,0.0036,0.00358,0.179,0.616,154.925
44ADyYoY5liaRa3EOAl4uf,Slide Away,['Miley Cyrus'],0.53,0.538,-6.672,0.0335,0.17,2.83e-06,0.248,0.288,148.051
3SsJ17EnPIu1B4GZshqjIS,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),['Metro Boomin'],0.491,0.77,-6.018,0.308,0.112,0,0.319,0.37,177.977
1pacwLXyRO47ka0v6LTIiY,Raindrops (Insane) [with Travis Scott],['Metro Boomin'],0.796,0.539,-5.974,0.0433,0.103,0,0.343,0.123,111.988
60CQpHremwdzRXIzoaufDF,Last Train Home - Ballad Version,['John Mayer'],0.298,0.436,-9.727,0.0512,0.449,0.371,0.1,0.189,78.207
5Z2MiIZ5I3jJvvmeWMLbOQ,Escapism.,['RAYE'],0.538,0.742,-5.355,0.114,0.138,4.67e-05,0.0934,0.25,96.107
2JrkrX1MMmqpwfve5El6Re,Solar Power - Spotify Singles,['Glass Animals'],0.701,0.631,-9.113,0.0708,0.0784,0.14,0.694,0.61,110.024
78Sw5GDo6AlGwTwanjXbGh,Here With Me,['d4vd'],0.574,0.469,-8.209,0.0254,0.534,9.21e-05,0.128,0.288,132.023
6RfuWRctUik5CiwnIajDVB,Sunny D,['Chloe George'],0.405,0.733,-2.694,0.0523,0.0619,0,0.198,0.223,82.15
6xTp4nC8NBRSYMxGqIikSh,Caroline,['Arlo Parks'],0.596,0.576,-7.956,0.039,0.379,0.0859,0.107,0.494,160.183
6bUNEbXT7HovLW6BgPCBsb,Roses,['Outkast'],0.751,0.708,-5.653,0.0545,0.0482,1.85e-05,0.107,0.509,108.97
4LJhJ6DQS7NwE7UKtvcM52,What's My Age Again?,['blink-182'],0.391,0.951,-7.419,0.0692,0.0126,0.000378,0.0878,0.468,157.66
0g39c1wm3U7lTBTjmXF5II,S.O.L,['Bibio'],0.802,0.662,-9.547,0.0524,0.00181,0.18,0.0343,0.508,117.87
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,['Stephen Sanchez'],0.539,0.508,-6.05,0.0288,0.727,0,0.174,0.227,101.358
2IFaUS63AIAr9P46W1lEwt,IknowhowIfeel,['Parcels'],0.856,0.511,-10.413,0.0365,0.386,0.0334,0.0985,0.942,114.985
0yZGo0JRf8ligEAHgT2k6p,Hopeless Romantic,['02Apollo'],0.673,0.705,-6.531,0.0259,0.184,0.00288,0.334,0.944,106.033
0Dl965SLJGi9bB0SrvtPRx,girlfriend,['hemlocke springs'],0.763,0.759,-3.925,0.0906,0.218,4.24e-05,0.0724,0.964,146.006
2SLwbpExuoBDZBpjfefCtV,Out of Time,['The Weeknd'],0.65,0.76,-4.422,0.0446,0.255,0,0.339,0.838,93.057
0cgy8EueqwMuYzOZrW5vPB,C'est La Vie (with bbno$ & Rich Brian),"['Yung Gravy', 'bbno$', 'Rich Brian']",0.888,0.778,-3.671,0.0945,0.0566,0,0.0653,0.774,142.128
