trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
2wG9CUSBZaF15R2ohLAnoe,0.744,0.428,-6.723,0.0943,0.532,0,0.161,0.378,116.059,Alternative
4dQ4BPKoanm9j8h7SRlG61,0.684,0.876,-4.014,0.0557,0.0459,3.33e-05,0.361,0.709,91.81,Alternative
3lGPy4laQ3s4lT1pRXKmFC,0.469,0.568,-7.084,0.0305,0.0817,0,0.146,0.193,109.172,Pop
4eyHf2QbZZKoPWpZBYc0KX,0.866,0.498,-4.25,0.0461,0.0843,0,0.278,0.684,106.985,Pop
50HJ2xsReLjwmX64tqOBWl,0.824,0.553,-6.925,0.0494,0.742,5.89e-05,0.153,0.594,107.996,Pop
1dYi3AzRCFueeonBFLXbzk,0.759,0.527,-6.589,0.193,0.0496,0,0.337,0.497,159.781,R&B
1eMWdrMNzPuGOwsAeKlXBW,0.777,0.694,-6.225,0.0385,0.0288,0.0703,0.0974,0.84,117.006,Rap/Hip Hop
2CJfHjywgcczXQi6Dosw8Q,0.7,0.55,-5.871,0.104,0.16,0.000119,0.0644,0.854,72.997,Rock
4Rp7ckReS0joAY57yoErwh,0.741,0.917,-6.323,0.05,0.151,8.08e-05,0.116,0.181,100.011,Alternative
4H3HXt4sSa705RUtetLTmz,0.696,0.641,-6.17,0.0445,0.648,0.0012,0.255,0.422,92.003,Singer & Songwriter
7uGpUhy4uf2UrHH7TyhM6C,0.777,0.737,-5.86,0.0351,0.0421,0.379,0.0265,0.891,123.993,Alternative
2ksyzVfU0WJoBpu8otr4pz,0.593,0.641,-12.727,0.0992,0.426,0.901,0.122,0.147,175.014,Pop
6rb3wFQ66EWR7DcPG0oEE1,0.568,0.76,-6.455,0.275,0.0431,1.53e-05,0.18,0.481,100.042,Alternative
384TqRlwlMfeUAODhXfF3O,0.551,0.741,-4.245,0.029,0.00648,0.00603,0.0707,0.399,79.984,R&B
76viqO3tGyWHYbJgmV2gfN,0.658,0.658,-4.866,0.0443,0.0628,0,0.0497,0.582,152.078,R&B
5iXWtj4lGn4P8gfabLmHLZ,0.639,0.694,-8.667,0.0421,0.0015,0.00602,0.0587,0.338,128.033,Electro
6APnYxfLzIg2cejA3v2ljy,0.558,0.813,-4.669,0.0462,0.0036,0.00358,0.179,0.616,154.925,Singer & Songwriter
44ADyYoY5liaRa3EOAl4uf,0.53,0.538,-6.672,0.0335,0.17,2.83e-06,0.248,0.288,148.051,Alternative
3SsJ17EnPIu1B4GZshqjIS,0.491,0.77,-6.018,0.308,0.112,0,0.319,0.37,177.977,Alternative
1pacwLXyRO47ka0v6LTIiY,0.796,0.539,-5.974,0.0433,0.103,0,0.343,0.123,111.988,Pop
60CQpHremwdzRXIzoaufDF,0.298,0.436,-9.727,0.0512,0.449,0.371,0.1,0.189,78.207,Alternative
5Z2MiIZ5I3jJvvmeWMLbOQ,0.538,0.742,-5.355,0.114,0.138,4.67e-05,0.0934,0.25,96.107,Rap/Hip Hop
2JrkrX1MMmqpwfve5El6Re,0.701,0.631,-9.113,0.0708,0.0784,0.14,0.694,0.61,110.024,Rap/Hip Hop
78Sw5GDo6AlGwTwanjXbGh,0.574,0.469,-8.209,0.0254,0.534,9.21e-05,0.128,0.288,132.023,R&B
6RfuWRctUik5CiwnIajDVB,0.405,0.733,-2.694,0.0523,0.0619,0,0.198,0.223,82.15,African Music
6xTp4nC8NBRSYMxGqIikSh,0.596,0.576,-7.956,0.039,0.379,0.0859,0.107,0.494,160.183,Dance
6bUNEbXT7HovLW6BgPCBsb,0.751,0.708,-5.653,0.0545,0.0482,1.85e-05,0.107,0.509,108.97,Alternative
4LJhJ6DQS7NwE7UKtvcM52,0.391,0.951,-7.419,0.0692,0.0126,0.000378,0.0878,0.468,157.66,Rap/Hip Hop
0g39c1wm3U7lTBTjmXF5II,0.802,0.662,-9.547,0.0524,0.00181,0.18,0.0343,0.508,117.87,Dance
0T5iIrXA4p5GsubkhuBIKV,0.539,0.508,-6.05,0.0288,0.727,0,0.174,0.227,101.358,Dance
2IFaUS63AIAr9P46W1lEwt,0.856,0.511,-10.413,0.0365,0.386,0.0334,0.0985,0.942,114.985,R&B
0yZGo0JRf8ligEAHgT2k6p,0.673,0.705,-6.531,0.0259,0.184,0.00288,0.334,0.944,106.033,Pop
0Dl965SLJGi9bB0SrvtPRx,0.763,0.759,-3.925,0.0906,0.218,4.24e-05,0.0724,0.964,146.006,Pop
2SLwbpExuoBDZBpjfefCtV,0.65,0.76,-4.422,0.0446,0.255,0,0.339,0.838,93.057,Pop
