trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label,genre
4PHDxMwPsCCb3FqbZW65qv,0.663,0.826,-3.786,0.159,0.00165,0.0,0.165,0.322,123.972,electronic dance music,Electro
5pvjWXjTjIJ8U86CF6evSX,0.808,0.502,-8.877,0.111,0.00814,0.839,0.946,0.501,120.452,electronic dance music,Dance
4z0jkGQt6HOK7KHU5qj7cr,0.764,0.723,-6.82,0.29,0.00593,0.0,0.347,0.39,127.806,electronic dance music,Dance
1XFHbzTikXks9CsMq4v8Q3,0.74,0.674,-4.374,0.0476,0.00903,0.238,0.154,0.231,126.017,electronic dance music,Dance
4ADsYu1V5CpFLXNve7iK4Z,0.708,0.793,-5.426,0.0341,0.0138,0.00227,0.118,0.735,122.014,electronic dance music,Electro
3xSROG8STYq089wm3R5zp0,0.741,0.917,-5.078,0.0405,0.0169,4.05e-05,0.104,0.512,126.021,electronic dance music,Electro
2GpLgm5YGr8ocNEh1VWczP,0.731,0.894,-4.081,0.105,0.016,1.89e-06,0.527,0.544,121.989,electronic dance music,Electro
60oB6xzfxkP8AZ6wuMDGNs,0.596,0.905,-3.438,0.0515,0.0743,0.00168,0.129,0.692,144.981,electronic dance music,Dance
0EdI2NAu85MNccvM0aelWL,0.694,0.924,-4.211,0.0447,0.0043,0.00961,0.364,0.483,118.987,electronic dance music,Dance
15BlympuVSfZFROojEMY2M,0.428,0.656,-3.712,0.075,0.0751,0.181,0.15,0.355,79.648,electronic dance music,Dance
0JiVRyTJcJnmlwCZ854K4p,0.676,0.929,-3.194,0.0458,0.186,0.000405,0.121,0.157,97.019,electronic dance music,Dance
7569Hbv0FUS7vjkdGvdgeZ,0.527,0.819,-3.374,0.0422,0.00298,0.000152,0.0606,0.143,140.02,electronic dance music,Pop
651UhFhfviisprbXYmJvgI,0.775,0.691,-5.589,0.0766,0.00578,1.12e-06,0.11,0.442,122.979,electronic dance music,Electro
5EpR6BqAnwR9PPl6sIrzGy,0.704,0.888,-2.872,0.0541,0.00553,0.0011,0.079,0.531,125.027,electronic dance music,Electro
